package,repo,found,stars,forks,open_issues_and_prs,open_prs,open_issues,commits_last_2_years,dev_commits_last_2_years,last_commit_date,days_since_last_commit,status
S4Vectors,Bioconductor/S4Vectors,True,18,23,29,1,28,47,35,2026-07-06,4,Active
AnnotationDbi,Bioconductor/AnnotationDbi,True,10,10,5,2,3,12,4,2026-04-28,73,Maintenance Mode
IRanges,Bioconductor/IRanges,True,23,12,14,4,10,43,35,2026-07-01,9,Active
SummarizedExperiment,Bioconductor/SummarizedExperiment,True,38,10,27,0,27,24,16,2026-04-28,73,Active
GenomicRanges,Bioconductor/GenomicRanges,True,47,21,35,4,31,30,22,2026-07-07,3,Active
BiocGenerics,Bioconductor/BiocGenerics,True,13,10,1,0,1,51,42,2026-07-07,4,Active
Biostrings,Bioconductor/Biostrings,True,68,17,26,3,23,49,39,2026-07-04,6,Active
Biobase,Bioconductor/Biobase,True,9,11,4,2,2,12,3,2026-04-28,73,Maintenance Mode
BiocParallel,Bioconductor/BiocParallel,True,69,31,35,2,33,36,21,2026-04-28,73,Active
BSgenome,Bioconductor/BSgenome,True,9,8,8,1,7,18,10,2026-04-28,73,Active
limma,cran/limma,True,13,3,0,0,0,55,46,2026-05-31,41,Active
SingleCellExperiment,drisso/SingleCellExperiment,True,75,20,15,0,15,14,5,2026-05-14,58,Active
Seqinfo,Bioconductor/Seqinfo,True,1,1,1,0,1,16,12,2026-04-28,73,Active
GenomicFeatures,Bioconductor/GenomicFeatures,True,27,10,10,1,9,26,18,2026-04-28,73,Active
GenomeInfoDb,Bioconductor/GenomeInfoDb,True,35,14,6,0,6,43,34,2026-05-22,49,Active
rtracklayer,N/A,False,0,0,0,0,0,70,59,2026-06-10,30,Active
Rsamtools,Bioconductor/Rsamtools,True,30,31,19,4,15,17,9,2026-04-28,73,Active
oligoClasses,jmacdon/oligoClasses,True,0,0,0,0,0,8,0,2026-04-28,73,Stale (Admin-Only)
oligo,benilton/oligo,True,3,2,1,0,1,15,7,2026-04-28,73,Active
edgeR,davidrequena/edgeR,True,4,0,0,0,0,73,63,2026-06-27,14,Active
ExperimentHub,Bioconductor/ExperimentHub,True,11,14,7,0,7,31,19,2026-06-15,25,Active
AnnotationHub,Bioconductor/AnnotationHub,True,19,16,10,0,10,42,29,2026-06-30,10,Active
ComplexHeatmap,jokergoo/ComplexHeatmap,True,1520,249,232,4,228,24,16,2026-04-28,73,Active
DESeq2,thelovelab/DESeq2,True,467,113,1,0,1,49,32,2026-04-28,73,Active
BiocFileCache,Bioconductor/BiocFileCache,True,14,9,11,0,11,41,31,2026-04-28,73,Active
graph,Bioconductor/graph,True,6,9,5,1,4,16,6,2026-04-28,73,Active
DelayedArray,Bioconductor/DelayedArray,True,29,11,21,0,21,43,35,2026-05-26,45,Active
GenomicAlignments,Bioconductor/GenomicAlignments,True,11,15,11,3,8,18,10,2026-07-07,3,Active
biomaRt,Huber-group-EMBL/biomaRt,True,50,18,42,1,41,191,164,2026-07-01,10,Active
VariantAnnotation,Bioconductor/VariantAnnotation,True,31,21,56,22,34,16,7,2026-04-28,73,Active
SpatialExperiment,drighelli/SpatialExperiment,True,74,21,35,5,30,5,1,2026-04-28,73,Maintenance Mode
rhdf5,Bioconductor/rhdf5,True,0,0,0,0,0,234,202,2026-05-26,46,Active
MultiAssayExperiment,waldronlab/MultiAssayExperiment,True,76,35,1,0,1,103,70,2026-04-28,73,Active
MatrixGenerics,Bioconductor/MatrixGenerics,True,12,1,5,0,5,11,2,2026-04-28,73,Maintenance Mode
affy,Bioconductor/affy,True,0,0,0,0,0,10,2,2026-04-28,73,Maintenance Mode
qvalue,StoreyLab/qvalue,True,122,38,7,2,5,9,1,2026-04-28,73,Maintenance Mode
flowCore,RGLab/flowCore,True,60,26,40,2,38,21,12,2026-05-27,44,Active
BiocStyle,Bioconductor/BiocStyle,True,15,19,37,6,31,11,2,2026-04-28,73,Maintenance Mode
preprocessCore,N/A,False,0,0,0,0,0,19,11,2026-04-28,73,Active
HDF5Array,Bioconductor/HDF5Array,True,12,14,9,1,8,84,76,2026-04-28,73,Active
XVector,Bioconductor/XVector,True,3,3,1,0,1,16,7,2026-04-28,73,Active
scater,alanocallaghan/scater,True,95,40,1,0,1,30,20,2026-06-30,11,Active
impute,N/A,False,0,0,0,0,0,8,0,2026-04-28,73,Stale (Admin-Only)
Rgraphviz,cran/Rgraphviz,True,0,0,0,0,0,34,25,2026-04-28,73,Active
GSEABase,Bioconductor/GSEABase,True,6,11,2,0,2,16,6,2026-04-28,73,Active
ggtree,YuLab-SMU/ggtree,True,928,183,195,1,194,85,75,2026-04-28,73,Active
minfi,hansenlab/minfi,True,64,75,133,8,125,11,3,2026-05-25,46,Maintenance Mode
sva,jtleek/sva,True,3,3,0,0,0,8,0,2026-04-28,73,Stale (Admin-Only)
clusterProfiler,YuLab-SMU/clusterProfiler,True,1214,268,365,0,365,100,84,2026-04-28,73,Active
txdbmaker,Bioconductor/txdbmaker,True,5,2,7,0,7,28,19,2026-04-28,73,Active
